measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Western Europe,Both,All ages,Breast cancer,Number,1990,88953.71482,91161.46736,84535.81457
Deaths,Western Europe,Both,All ages,Breast cancer,Rate,1990,23.12936212,23.70341243,21.98063871
Deaths,Western Europe,Both,Age-standardized,Breast cancer,Rate,1990,16.20508371,16.59345368,15.42756608
Deaths,Central Latin America,Both,All ages,Breast cancer,Number,1990,5816.411333,5953.674717,5639.233231
Deaths,Central Latin America,Both,All ages,Breast cancer,Rate,1990,3.543929942,3.627564297,3.435975613
Deaths,Central Latin America,Both,Age-standardized,Breast cancer,Rate,1990,6.494633826,6.661197045,6.244534803
Deaths,Oceania,Both,All ages,Breast cancer,Number,1991,588.7359725,728.518283,468.9286561
Deaths,Oceania,Both,All ages,Breast cancer,Rate,1991,8.882175603,10.99105137,7.074659717
Deaths,Oceania,Both,Age-standardized,Breast cancer,Rate,1991,16.27339556,19.76223102,13.05817706
Deaths,Western Sub-Saharan Africa,Both,All ages,Breast cancer,Number,1990,7979.831221,9978.975515,6485.196778
Deaths,Western Sub-Saharan Africa,Both,All ages,Breast cancer,Rate,1990,4.143635861,5.181718718,3.367526605
Deaths,Western Sub-Saharan Africa,Both,Age-standardized,Breast cancer,Rate,1990,8.827843315,11.01938374,7.148030484
Deaths,Southeast Asia,Both,All ages,Breast cancer,Number,1991,30148.06565,33833.89899,27253.64914
Deaths,Southeast Asia,Both,All ages,Breast cancer,Rate,1991,6.345586178,7.121382986,5.736367344
Deaths,Southeast Asia,Both,Age-standardized,Breast cancer,Rate,1991,10.16159346,11.3425908,9.249506375
Deaths,Southern Sub-Saharan Africa,Both,All ages,Breast cancer,Number,1990,3004.245735,3388.843838,2680.445679
Deaths,Southern Sub-Saharan Africa,Both,All ages,Breast cancer,Rate,1990,5.723144949,6.455811609,5.106299716
Deaths,Southern Sub-Saharan Africa,Both,Age-standardized,Breast cancer,Rate,1990,10.77889857,12.40020445,9.489051285
Deaths,Australasia,Both,All ages,Breast cancer,Number,1991,3297.490978,3408.929194,3134.615011
Deaths,Australasia,Both,All ages,Breast cancer,Rate,1991,16.05244133,16.59493119,15.25954851
Deaths,Australasia,Both,Age-standardized,Breast cancer,Rate,1991,14.23863674,14.72758065,13.49073453
Deaths,Andean Latin America,Both,All ages,Breast cancer,Number,1991,1510.999633,1689.94777,1361.96402
Deaths,Andean Latin America,Both,All ages,Breast cancer,Rate,1991,3.879310313,4.33873819,3.496679252
Deaths,Andean Latin America,Both,Age-standardized,Breast cancer,Rate,1991,6.699872227,7.465799565,6.028195691
Deaths,Eastern Europe,Both,All ages,Breast cancer,Number,1991,31056.16828,32053.72726,30206.4024
Deaths,Eastern Europe,Both,All ages,Breast cancer,Rate,1991,13.68494628,14.12452211,13.31049569
Deaths,Eastern Europe,Both,Age-standardized,Breast cancer,Rate,1991,11.27713801,11.66001966,10.94363789
Deaths,South Asia,Both,All ages,Breast cancer,Number,1992,44210.05877,50770.15827,37339.45592
Deaths,South Asia,Both,All ages,Breast cancer,Rate,1992,3.876399041,4.451597629,3.27397509
Deaths,South Asia,Both,Age-standardized,Breast cancer,Rate,1992,6.94025394,8.094222975,5.737942165
Deaths,Central Asia,Both,All ages,Breast cancer,Number,1991,5154.181489,5335.13099,4982.446457
Deaths,Central Asia,Both,All ages,Breast cancer,Rate,1991,7.357490092,7.615791855,7.112341798
Deaths,Central Asia,Both,Age-standardized,Breast cancer,Rate,1991,10.53748384,10.90740654,10.18706681
Deaths,Western Europe,Both,All ages,Breast cancer,Number,1991,89867.76305,92210.13587,85233.34823
Deaths,Western Europe,Both,All ages,Breast cancer,Rate,1991,23.28235034,23.88919692,22.08169655
Deaths,Western Europe,Both,Age-standardized,Breast cancer,Rate,1991,16.14629277,16.5387571,15.35890175
Deaths,Central Latin America,Both,All ages,Breast cancer,Number,1991,6047.491492,6192.286854,5867.550225
Deaths,Central Latin America,Both,All ages,Breast cancer,Rate,1991,3.608228823,3.694620809,3.500867073
Deaths,Central Latin America,Both,Age-standardized,Breast cancer,Rate,1991,6.520218758,6.689367316,6.276278978
Deaths,South Asia,Both,All ages,Breast cancer,Number,1990,41216.39537,47366.8464,33875.41093
Deaths,South Asia,Both,All ages,Breast cancer,Rate,1990,3.755051265,4.315392816,3.086245256
Deaths,South Asia,Both,Age-standardized,Breast cancer,Rate,1990,6.815806438,7.947985647,5.518762593
Deaths,Central Sub-Saharan Africa,Both,All ages,Breast cancer,Number,1991,2430.65911,2970.609588,1951.480994
Deaths,Central Sub-Saharan Africa,Both,All ages,Breast cancer,Rate,1991,4.24994643,5.194036284,3.412115524
Deaths,Central Sub-Saharan Africa,Both,Age-standardized,Breast cancer,Rate,1991,9.984975997,12.04759148,8.082437949
