measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,High-middle SDI,Both,Age-standardized,Breast cancer,Rate,1993,10.46125461,10.8020863,10.0204556
Deaths,Low SDI,Both,All ages,Breast cancer,Number,1993,21285.01768,24684.03146,18057.17567
Deaths,Low SDI,Both,All ages,Breast cancer,Rate,1993,3.727435366,4.32267115,3.162175208
Deaths,Low SDI,Both,Age-standardized,Breast cancer,Rate,1993,7.950170331,9.313645928,6.668919851
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Number,1992,49569.72106,55383.9457,44192.05923
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Rate,1992,4.226289847,4.722007758,3.767793065
Deaths,Low-middle SDI,Both,Age-standardized,Breast cancer,Rate,1992,7.326067192,8.224867304,6.460485853
Deaths,Middle SDI,Both,All ages,Breast cancer,Number,1995,85913.17284,91032.23305,81030.51845
Deaths,Middle SDI,Both,All ages,Breast cancer,Rate,1995,4.63443055,4.910568984,4.3710446
Deaths,Middle SDI,Both,Age-standardized,Breast cancer,Rate,1995,6.842835217,7.244259442,6.448592224
Deaths,Middle SDI,Both,All ages,Breast cancer,Number,1993,80708.39978,86403.11063,75931.35898
Deaths,Middle SDI,Both,All ages,Breast cancer,Rate,1993,4.482277858,4.798543283,4.216976795
Deaths,Middle SDI,Both,Age-standardized,Breast cancer,Rate,1993,6.819018575,7.272858511,6.39888056
Deaths,High-middle SDI,Both,All ages,Breast cancer,Number,1995,121725.916,125338.1367,117129.7463
Deaths,High-middle SDI,Both,All ages,Breast cancer,Rate,1995,10.10102673,10.40077505,9.719628639
Deaths,High-middle SDI,Both,Age-standardized,Breast cancer,Rate,1995,10.55958671,10.88853248,10.12634122
Deaths,High SDI,Both,All ages,Breast cancer,Number,1993,141791.968,145432.3672,134405.6518
Deaths,High SDI,Both,All ages,Breast cancer,Rate,1993,16.85270118,17.28538126,15.97479968
Deaths,High SDI,Both,Age-standardized,Breast cancer,Rate,1993,13.2024877,13.53259841,12.54126995
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Number,1994,53394.83732,59264.96177,48163.87817
Deaths,Low-middle SDI,Both,All ages,Breast cancer,Rate,1994,4.391015669,4.873755381,3.960838806
Deaths,Low-middle SDI,Both,Age-standardized,Breast cancer,Rate,1994,7.497982745,8.328363468,6.672056061
Deaths,Global,Both,All ages,Breast cancer,Number,1996,436386.4707,452122.7404,418501.7464
Deaths,Global,Both,All ages,Breast cancer,Rate,1996,7.477462641,7.747102919,7.171008691
Deaths,Global,Both,Age-standardized,Breast cancer,Rate,1996,9.769783353,10.12539768,9.299024831
Deaths,Middle SDI,Both,All ages,Breast cancer,Number,1992,78051.16026,83349.15974,72955.05614
Deaths,Middle SDI,Both,All ages,Breast cancer,Rate,1992,4.401480692,4.700246814,4.114099905
Deaths,Middle SDI,Both,Age-standardized,Breast cancer,Rate,1992,6.775785178,7.205537082,6.338452652
Deaths,Low SDI,Both,All ages,Breast cancer,Number,1994,21934.44198,25390.29225,18653.58229
Deaths,Low SDI,Both,All ages,Breast cancer,Rate,1994,3.740564468,4.329903861,3.181066888
Deaths,Low SDI,Both,Age-standardized,Breast cancer,Rate,1994,8.010303212,9.395932534,6.727011153
Deaths,High SDI,Both,All ages,Breast cancer,Number,1994,142474.1246,146170.4021,134840.0631
Deaths,High SDI,Both,All ages,Breast cancer,Rate,1994,16.81502493,17.25126553,15.91404072
Deaths,High SDI,Both,Age-standardized,Breast cancer,Rate,1994,13.01874361,13.34224774,12.3679668
Deaths,High SDI,Both,All ages,Breast cancer,Number,1995,143831.7552,147640.5409,136012.8877
Deaths,High SDI,Both,All ages,Breast cancer,Rate,1995,16.85919418,17.3056398,15.94270807
Deaths,High SDI,Both,Age-standardized,Breast cancer,Rate,1995,12.89561322,13.21915238,12.23788281
